respondent_id,segment_id,segment_name,variant_id,variant_name,latent_profile,q_interest,q_price,q_priority,q_setup,q_share,q_switch,q_trust,q_value
pilot_nimbusnotes_q1_startup_ops_v_pro_0019,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Very likely,Very acceptable,None of these feels compelling,Very easy,Somewhat likely,Maybe with some proof,Very comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0020,startup_ops,Startup ops leads,v_pro,Pro monthly,mainstream,Very likely,Very acceptable,Keeps action items organized,Very easy,Somewhat likely,Maybe with some proof,Mostly comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0021,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Somewhat likely,Very acceptable,Saves time after meetings,Somewhat hard,Very likely,"Yes, likely",Very comfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0022,startup_ops,Startup ops leads,v_pro,Pro monthly,mainstream,Very likely,Very acceptable,Saves time after meetings,Somewhat easy,Very likely,Maybe with some proof,Very comfortable,Slightly valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0023,startup_ops,Startup ops leads,v_pro,Pro monthly,skeptical,Not at all likely,Acceptable,Helps with client visibility,Very easy,Not very likely,"No, not enough",Very comfortable,Slightly valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0024,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Somewhat likely,Acceptable,Helps with client visibility,Very easy,Somewhat likely,"Yes, likely",Very comfortable,Slightly valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0025,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Very likely,Acceptable,Keeps action items organized,Very easy,Very likely,"Yes, likely",Very comfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0026,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Not very likely,Very acceptable,Saves time after meetings,Very easy,Very likely,"Yes, likely",Very comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0027,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Somewhat likely,Very acceptable,Saves time after meetings,Somewhat hard,Very likely,"Yes, likely",Somewhat uncomfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0028,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Very likely,Very acceptable,Saves time after meetings,Very easy,Somewhat likely,"Yes, likely",Very comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0029,startup_ops,Startup ops leads,v_pro,Pro monthly,skeptical,Not at all likely,Too expensive,Saves time after meetings,Somewhat hard,Not very likely,"No, not enough",Somewhat uncomfortable,Not valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0030,startup_ops,Startup ops leads,v_pro,Pro monthly,mainstream,Not very likely,Very acceptable,Saves time after meetings,Very easy,Somewhat likely,Maybe with some proof,Very comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0031,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Very likely,Very acceptable,Saves time after meetings,Very easy,Not very likely,Maybe with some proof,Very uncomfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0032,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Not very likely,Acceptable,Saves time after meetings,Somewhat easy,Somewhat likely,"Yes, likely",Very comfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0033,startup_ops,Startup ops leads,v_pro,Pro monthly,mainstream,Somewhat likely,Acceptable,Helps with client visibility,Very hard,Not at all likely,"Yes, likely",Very comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0034,startup_ops,Startup ops leads,v_pro,Pro monthly,mainstream,Not very likely,Very acceptable,Keeps action items organized,Very easy,Very likely,Maybe with some proof,Mostly comfortable,Not valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0035,startup_ops,Startup ops leads,v_pro,Pro monthly,mainstream,Somewhat likely,Borderline,Saves time after meetings,Somewhat easy,Very likely,Maybe with some proof,Very uncomfortable,Slightly valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0036,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Very likely,Acceptable,Saves time after meetings,Somewhat hard,Very likely,"Yes, likely",Mostly comfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0037,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Very likely,Very acceptable,Keeps action items organized,Somewhat easy,Not very likely,"Yes, likely",Very comfortable,Slightly valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0038,startup_ops,Startup ops leads,v_pro,Pro monthly,mainstream,Not at all likely,Too expensive,Keeps action items organized,Somewhat hard,Very likely,"Yes, likely",Mostly comfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0039,startup_ops,Startup ops leads,v_pro,Pro monthly,mainstream,Very likely,Very acceptable,Helps with client visibility,Very easy,Not very likely,"Yes, likely",Very comfortable,Slightly valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0040,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Not very likely,Borderline,Saves time after meetings,Very hard,Somewhat likely,"Yes, likely",Mostly comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0041,startup_ops,Startup ops leads,v_pro,Pro monthly,skeptical,Very likely,Borderline,Saves time after meetings,Very hard,Very likely,"Yes, likely",Mostly comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0042,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Not very likely,Borderline,Keeps action items organized,Somewhat hard,Somewhat likely,"Yes, likely",Somewhat uncomfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0043,startup_ops,Startup ops leads,v_pro,Pro monthly,skeptical,Very likely,Borderline,Saves time after meetings,Somewhat hard,Not very likely,Maybe with some proof,Very comfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0044,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Not at all likely,Very acceptable,Saves time after meetings,Very easy,Somewhat likely,"Yes, likely",Somewhat uncomfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0045,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Not at all likely,Acceptable,Saves time after meetings,Somewhat easy,Not very likely,Maybe with some proof,Very comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0046,startup_ops,Startup ops leads,v_pro,Pro monthly,mainstream,Somewhat likely,Very acceptable,Saves time after meetings,Very easy,Very likely,"Yes, likely",Very comfortable,Not valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0047,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Very likely,Acceptable,Saves time after meetings,Very easy,Somewhat likely,"Yes, likely",Very comfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0048,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Very likely,Acceptable,Saves time after meetings,Somewhat easy,Somewhat likely,"Yes, likely",Mostly comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0049,startup_ops,Startup ops leads,v_pro,Pro monthly,skeptical,Somewhat likely,Very acceptable,Keeps action items organized,Somewhat hard,Not at all likely,Maybe with some proof,Very uncomfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0050,startup_ops,Startup ops leads,v_pro,Pro monthly,mainstream,Very likely,Acceptable,Saves time after meetings,Very easy,Very likely,"Yes, likely",Somewhat uncomfortable,Slightly valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0051,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Very likely,Very acceptable,Keeps action items organized,Somewhat hard,Very likely,Maybe with some proof,Very comfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0052,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Not at all likely,Acceptable,Keeps action items organized,Somewhat easy,Very likely,"Yes, likely",Mostly comfortable,Not valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0053,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Very likely,Very acceptable,None of these feels compelling,Very hard,Somewhat likely,Maybe with some proof,Very comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0054,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Very likely,Acceptable,Helps with client visibility,Very easy,Very likely,"Yes, likely",Very comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0055,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Very likely,Acceptable,Keeps action items organized,Very easy,Not very likely,"Yes, likely",Very comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0056,startup_ops,Startup ops leads,v_pro,Pro monthly,mainstream,Not very likely,Very acceptable,Helps with client visibility,Very easy,Somewhat likely,Maybe with some proof,Somewhat uncomfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0057,startup_ops,Startup ops leads,v_pro,Pro monthly,skeptical,Not at all likely,Borderline,Keeps action items organized,Somewhat easy,Very likely,"Yes, likely",Mostly comfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0058,startup_ops,Startup ops leads,v_pro,Pro monthly,skeptical,Very likely,Very acceptable,Keeps action items organized,Very hard,Very likely,"Yes, likely",Mostly comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0059,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Somewhat likely,Too expensive,Keeps action items organized,Very easy,Not very likely,"Yes, likely",Mostly comfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0060,startup_ops,Startup ops leads,v_pro,Pro monthly,skeptical,Not at all likely,Borderline,None of these feels compelling,Somewhat easy,Not at all likely,Maybe with some proof,Somewhat uncomfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0061,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Somewhat likely,Very acceptable,Saves time after meetings,Somewhat easy,Not at all likely,"Yes, likely",Very comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0062,startup_ops,Startup ops leads,v_pro,Pro monthly,skeptical,Not very likely,Acceptable,Keeps action items organized,Very hard,Very likely,"No, not enough",Somewhat uncomfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0063,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Somewhat likely,Acceptable,Saves time after meetings,Somewhat easy,Very likely,Maybe with some proof,Mostly comfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0064,startup_ops,Startup ops leads,v_pro,Pro monthly,mainstream,Very likely,Acceptable,Saves time after meetings,Very easy,Somewhat likely,"Yes, likely",Somewhat uncomfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0065,startup_ops,Startup ops leads,v_pro,Pro monthly,skeptical,Not very likely,Acceptable,Saves time after meetings,Very easy,Very likely,"Yes, likely",Somewhat uncomfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0066,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Somewhat likely,Very acceptable,Keeps action items organized,Very easy,Not at all likely,"Yes, likely",Mostly comfortable,Not valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0067,startup_ops,Startup ops leads,v_pro,Pro monthly,mainstream,Not very likely,Very acceptable,Saves time after meetings,Very easy,Very likely,"Yes, likely",Very comfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0068,startup_ops,Startup ops leads,v_pro,Pro monthly,mainstream,Very likely,Acceptable,Saves time after meetings,Very easy,Very likely,"Yes, likely",Somewhat uncomfortable,Not valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0069,startup_ops,Startup ops leads,v_pro,Pro monthly,skeptical,Not very likely,Borderline,None of these feels compelling,Very easy,Very likely,"Yes, likely",Very comfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0070,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Somewhat likely,Very acceptable,Helps with client visibility,Very hard,Somewhat likely,"Yes, likely",Mostly comfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0071,startup_ops,Startup ops leads,v_pro,Pro monthly,skeptical,Somewhat likely,Borderline,None of these feels compelling,Somewhat easy,Very likely,"No, not enough",Mostly comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0072,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Very likely,Very acceptable,Saves time after meetings,Very easy,Very likely,"Yes, likely",Very comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0073,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Very likely,Very acceptable,Saves time after meetings,Very easy,Not very likely,"Yes, likely",Very comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0074,startup_ops,Startup ops leads,v_pro,Pro monthly,mainstream,Very likely,Borderline,Keeps action items organized,Very easy,Very likely,"No, not enough",Very comfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0075,startup_ops,Startup ops leads,v_pro,Pro monthly,mainstream,Very likely,Very acceptable,Saves time after meetings,Somewhat easy,Very likely,"Yes, likely",Very comfortable,Slightly valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0076,startup_ops,Startup ops leads,v_pro,Pro monthly,skeptical,Very likely,Very acceptable,Helps with client visibility,Very easy,Somewhat likely,Maybe with some proof,Mostly comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0077,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Somewhat likely,Acceptable,Keeps action items organized,Very easy,Very likely,Maybe with some proof,Somewhat uncomfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0078,startup_ops,Startup ops leads,v_pro,Pro monthly,skeptical,Not very likely,Borderline,Saves time after meetings,Very easy,Very likely,Maybe with some proof,Mostly comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0079,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Very likely,Acceptable,Keeps action items organized,Somewhat easy,Not very likely,Maybe with some proof,Very comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0080,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Somewhat likely,Very acceptable,Keeps action items organized,Very easy,Not at all likely,"No, not enough",Very comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0081,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Not very likely,Acceptable,Keeps action items organized,Very easy,Very likely,"Yes, likely",Mostly comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0082,startup_ops,Startup ops leads,v_pro,Pro monthly,skeptical,Somewhat likely,Too expensive,Helps with client visibility,Somewhat easy,Somewhat likely,"Yes, likely",Mostly comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0000,startup_ops,Startup ops leads,v_team,Team monthly,skeptical,Not very likely,Acceptable,Keeps action items organized,Very easy,Somewhat likely,Maybe with some proof,Somewhat uncomfortable,Not valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0001,startup_ops,Startup ops leads,v_team,Team monthly,promoter,Very likely,Very acceptable,Helps with client visibility,Very easy,Not very likely,"No, not enough",Very comfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0002,startup_ops,Startup ops leads,v_team,Team monthly,promoter,Not very likely,Very acceptable,Keeps action items organized,Somewhat hard,Not very likely,Maybe with some proof,Somewhat uncomfortable,Slightly valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0003,startup_ops,Startup ops leads,v_team,Team monthly,promoter,Not very likely,Very acceptable,Saves time after meetings,Somewhat easy,Not at all likely,"Yes, likely",Very comfortable,Slightly valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0004,startup_ops,Startup ops leads,v_team,Team monthly,skeptical,Somewhat likely,Borderline,Keeps action items organized,Somewhat easy,Not at all likely,Maybe with some proof,Somewhat uncomfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0005,startup_ops,Startup ops leads,v_team,Team monthly,promoter,Very likely,Very acceptable,Saves time after meetings,Very easy,Very likely,Maybe with some proof,Very uncomfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0006,startup_ops,Startup ops leads,v_team,Team monthly,skeptical,Very likely,Very acceptable,Keeps action items organized,Somewhat easy,Very likely,Maybe with some proof,Very comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0007,startup_ops,Startup ops leads,v_team,Team monthly,skeptical,Somewhat likely,Very acceptable,None of these feels compelling,Somewhat hard,Not at all likely,"Yes, likely",Very uncomfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0008,startup_ops,Startup ops leads,v_team,Team monthly,skeptical,Very likely,Acceptable,Keeps action items organized,Very easy,Not very likely,Maybe with some proof,Very uncomfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0009,startup_ops,Startup ops leads,v_team,Team monthly,promoter,Very likely,Acceptable,Keeps action items organized,Very easy,Very likely,Maybe with some proof,Very comfortable,Slightly valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0010,startup_ops,Startup ops leads,v_team,Team monthly,skeptical,Not at all likely,Too expensive,Keeps action items organized,Very easy,Very likely,"Yes, likely",Very uncomfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0011,startup_ops,Startup ops leads,v_team,Team monthly,mainstream,Not very likely,Too expensive,Saves time after meetings,Somewhat easy,Very likely,"Yes, likely",Very comfortable,Slightly valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0012,startup_ops,Startup ops leads,v_team,Team monthly,skeptical,Not very likely,Acceptable,Saves time after meetings,Somewhat easy,Very likely,Maybe with some proof,Mostly comfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0013,startup_ops,Startup ops leads,v_team,Team monthly,skeptical,Not at all likely,Acceptable,None of these feels compelling,Very easy,Very likely,"Yes, likely",Very comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0014,startup_ops,Startup ops leads,v_team,Team monthly,promoter,Very likely,Acceptable,Saves time after meetings,Very hard,Somewhat likely,"Yes, likely",Somewhat uncomfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0015,startup_ops,Startup ops leads,v_team,Team monthly,promoter,Very likely,Very acceptable,Saves time after meetings,Somewhat easy,Not very likely,Maybe with some proof,Mostly comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0016,startup_ops,Startup ops leads,v_team,Team monthly,skeptical,Not very likely,Too expensive,Saves time after meetings,Very easy,Very likely,Maybe with some proof,Mostly comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0017,startup_ops,Startup ops leads,v_team,Team monthly,mainstream,Not at all likely,Borderline,None of these feels compelling,Somewhat easy,Somewhat likely,Maybe with some proof,Mostly comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0018,startup_ops,Startup ops leads,v_team,Team monthly,promoter,Somewhat likely,Very acceptable,Keeps action items organized,Somewhat hard,Not at all likely,"Yes, likely",Mostly comfortable,Slightly valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0019,startup_ops,Startup ops leads,v_team,Team monthly,mainstream,Not at all likely,Borderline,None of these feels compelling,Somewhat easy,Somewhat likely,"Yes, likely",Somewhat uncomfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0020,startup_ops,Startup ops leads,v_team,Team monthly,promoter,Very likely,Very acceptable,Keeps action items organized,Very easy,Somewhat likely,"Yes, likely",Mostly comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0021,startup_ops,Startup ops leads,v_team,Team monthly,promoter,Very likely,Borderline,Saves time after meetings,Somewhat easy,Very likely,"Yes, likely",Very comfortable,Slightly valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0022,startup_ops,Startup ops leads,v_team,Team monthly,promoter,Not very likely,Acceptable,Keeps action items organized,Very hard,Very likely,Maybe with some proof,Mostly comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0023,startup_ops,Startup ops leads,v_team,Team monthly,promoter,Very likely,Very acceptable,Helps with client visibility,Somewhat hard,Very likely,"Yes, likely",Mostly comfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0024,startup_ops,Startup ops leads,v_team,Team monthly,skeptical,Somewhat likely,Borderline,None of these feels compelling,Very easy,Not at all likely,Maybe with some proof,Very uncomfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0025,startup_ops,Startup ops leads,v_team,Team monthly,skeptical,Not very likely,Acceptable,Keeps action items organized,Very easy,Somewhat likely,Maybe with some proof,Somewhat uncomfortable,Slightly valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0026,startup_ops,Startup ops leads,v_team,Team monthly,mainstream,Very likely,Borderline,Helps with client visibility,Very easy,Not very likely,"Yes, likely",Very comfortable,Slightly valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0027,startup_ops,Startup ops leads,v_team,Team monthly,promoter,Very likely,Too expensive,None of these feels compelling,Very easy,Somewhat likely,"Yes, likely",Very comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0028,startup_ops,Startup ops leads,v_team,Team monthly,skeptical,Very likely,Very acceptable,Saves time after meetings,Somewhat hard,Not at all likely,"No, not enough",Very comfortable,Slightly valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0029,startup_ops,Startup ops leads,v_team,Team monthly,promoter,Somewhat likely,Acceptable,Keeps action items organized,Very hard,Very likely,"No, not enough",Mostly comfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0030,startup_ops,Startup ops leads,v_team,Team monthly,skeptical,Somewhat likely,Very acceptable,Helps with client visibility,Somewhat easy,Not very likely,Maybe with some proof,Somewhat uncomfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0031,startup_ops,Startup ops leads,v_team,Team monthly,promoter,Somewhat likely,Very acceptable,Saves time after meetings,Very easy,Very likely,"No, not enough",Somewhat uncomfortable,Slightly valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0032,startup_ops,Startup ops leads,v_team,Team monthly,mainstream,Very likely,Acceptable,Saves time after meetings,Very easy,Not very likely,"No, not enough",Mostly comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_team_0033,startup_ops,Startup ops leads,v_team,Team monthly,promoter,Not very likely,Borderline,Helps with client visibility,Very easy,Very likely,"Yes, likely",Somewhat uncomfortable,Somewhat valuable
