respondent_id,segment_id,segment_name,variant_id,variant_name,latent_profile,q35a_low_income_programs,q35b_social_security_age,q35c_education_cuts,q35d_mortgage_deduction,q35f_investment_income_tax,q35g_medicare_high_income,q35h_defense_cuts,q35j_student_loans,q35k_corporate_deductions,q35m_high_income_tax,q35n_scientific_research
sample_en_pew_policy_topline_fiscal_hawks___base___0028,fiscal_hawks,Fiscal hawks,,base,mainstream,Disapprove,Approve,Don't know,Don't know,Approve,Approve,Approve,Approve,Approve,Don't know,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0029,fiscal_hawks,Fiscal hawks,,base,mainstream,Disapprove,Don't know,Don't know,Approve,Approve,Don't know,Disapprove,Don't know,Approve,Don't know,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0030,fiscal_hawks,Fiscal hawks,,base,promoter,Don't know,Approve,Disapprove,Disapprove,Approve,Disapprove,Approve,Disapprove,Don't know,Disapprove,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0031,fiscal_hawks,Fiscal hawks,,base,skeptical,Approve,Disapprove,Approve,Don't know,Don't know,Disapprove,Approve,Don't know,Approve,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0032,fiscal_hawks,Fiscal hawks,,base,skeptical,Don't know,Disapprove,Approve,Approve,Approve,Disapprove,Don't know,Approve,Don't know,Approve,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0033,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Disapprove,Approve,Approve,Approve,Approve,Don't know,Disapprove,Don't know,Approve,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0034,fiscal_hawks,Fiscal hawks,,base,promoter,Don't know,Don't know,Disapprove,Approve,Disapprove,Approve,Don't know,Don't know,Approve,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0035,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Disapprove,Approve,Approve,Don't know,Approve,Disapprove,Disapprove,Don't know,Don't know,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0036,fiscal_hawks,Fiscal hawks,,base,mainstream,Disapprove,Approve,Approve,Approve,Approve,Disapprove,Disapprove,Disapprove,Approve,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0037,fiscal_hawks,Fiscal hawks,,base,mainstream,Approve,Approve,Disapprove,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0038,fiscal_hawks,Fiscal hawks,,base,mainstream,Disapprove,Approve,Disapprove,Don't know,Don't know,Don't know,Disapprove,Disapprove,Don't know,Approve,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0039,fiscal_hawks,Fiscal hawks,,base,mainstream,Approve,Don't know,Approve,Approve,Approve,Approve,Approve,Disapprove,Approve,Don't know,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0040,fiscal_hawks,Fiscal hawks,,base,promoter,Disapprove,Approve,Disapprove,Don't know,Don't know,Don't know,Approve,Don't know,Disapprove,Approve,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0041,fiscal_hawks,Fiscal hawks,,base,promoter,Disapprove,Approve,Approve,Disapprove,Don't know,Disapprove,Disapprove,Don't know,Approve,Approve,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0042,fiscal_hawks,Fiscal hawks,,base,promoter,Disapprove,Disapprove,Approve,Approve,Don't know,Approve,Approve,Approve,Approve,Disapprove,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0043,fiscal_hawks,Fiscal hawks,,base,promoter,Don't know,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Approve,Disapprove,Approve,Don't know,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0044,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Don't know,Disapprove,Don't know,Approve,Disapprove,Disapprove,Approve,Disapprove,Don't know,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0045,fiscal_hawks,Fiscal hawks,,base,promoter,Approve,Approve,Don't know,Approve,Approve,Disapprove,Approve,Approve,Disapprove,Disapprove,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0046,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Don't know,Disapprove,Don't know,Don't know,Don't know,Approve,Disapprove,Disapprove,Disapprove,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0047,fiscal_hawks,Fiscal hawks,,base,skeptical,Approve,Disapprove,Disapprove,Disapprove,Approve,Approve,Don't know,Approve,Don't know,Disapprove,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0048,fiscal_hawks,Fiscal hawks,,base,mainstream,Approve,Disapprove,Don't know,Don't know,Don't know,Approve,Approve,Approve,Approve,Disapprove,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0049,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Disapprove,Approve,Approve,Disapprove,Disapprove,Approve,Approve,Don't know,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0050,fiscal_hawks,Fiscal hawks,,base,skeptical,Approve,Don't know,Approve,Don't know,Approve,Disapprove,Disapprove,Approve,Don't know,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0051,fiscal_hawks,Fiscal hawks,,base,promoter,Don't know,Don't know,Approve,Approve,Approve,Disapprove,Don't know,Disapprove,Disapprove,Approve,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0052,fiscal_hawks,Fiscal hawks,,base,mainstream,Approve,Approve,Approve,Approve,Disapprove,Disapprove,Approve,Approve,Don't know,Disapprove,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0053,fiscal_hawks,Fiscal hawks,,base,promoter,Approve,Disapprove,Don't know,Approve,Disapprove,Disapprove,Disapprove,Approve,Approve,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0054,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Don't know,Don't know,Disapprove,Don't know,Don't know,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0055,fiscal_hawks,Fiscal hawks,,base,mainstream,Disapprove,Don't know,Disapprove,Approve,Approve,Don't know,Approve,Approve,Approve,Approve,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0056,fiscal_hawks,Fiscal hawks,,base,mainstream,Approve,Approve,Approve,Approve,Disapprove,Approve,Approve,Disapprove,Approve,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0057,fiscal_hawks,Fiscal hawks,,base,skeptical,Approve,Approve,Approve,Disapprove,Don't know,Disapprove,Approve,Approve,Approve,Disapprove,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0058,fiscal_hawks,Fiscal hawks,,base,promoter,Don't know,Approve,Disapprove,Disapprove,Approve,Approve,Approve,Don't know,Approve,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0059,fiscal_hawks,Fiscal hawks,,base,promoter,Approve,Disapprove,Disapprove,Don't know,Approve,Don't know,Disapprove,Approve,Disapprove,Don't know,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0060,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Don't know,Approve,Don't know,Disapprove,Disapprove,Disapprove,Approve,Disapprove,Disapprove,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0061,fiscal_hawks,Fiscal hawks,,base,promoter,Approve,Approve,Don't know,Disapprove,Disapprove,Approve,Don't know,Disapprove,Approve,Approve,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0062,fiscal_hawks,Fiscal hawks,,base,promoter,Don't know,Approve,Approve,Don't know,Disapprove,Approve,Don't know,Don't know,Approve,Disapprove,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0063,fiscal_hawks,Fiscal hawks,,base,promoter,Approve,Disapprove,Don't know,Approve,Disapprove,Approve,Don't know,Approve,Disapprove,Disapprove,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0064,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Disapprove,Don't know,Disapprove,Disapprove,Approve,Don't know,Disapprove,Disapprove,Approve,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0065,fiscal_hawks,Fiscal hawks,,base,mainstream,Approve,Don't know,Approve,Approve,Don't know,Don't know,Approve,Disapprove,Disapprove,Don't know,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0066,fiscal_hawks,Fiscal hawks,,base,mainstream,Don't know,Don't know,Disapprove,Approve,Don't know,Don't know,Don't know,Approve,Approve,Disapprove,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0067,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Don't know,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Don't know,Disapprove,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0068,fiscal_hawks,Fiscal hawks,,base,promoter,Approve,Approve,Don't know,Approve,Don't know,Approve,Approve,Don't know,Don't know,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0069,fiscal_hawks,Fiscal hawks,,base,promoter,Disapprove,Approve,Approve,Approve,Don't know,Disapprove,Approve,Approve,Approve,Approve,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0070,fiscal_hawks,Fiscal hawks,,base,skeptical,Don't know,Don't know,Don't know,Approve,Approve,Approve,Disapprove,Approve,Don't know,Disapprove,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0071,fiscal_hawks,Fiscal hawks,,base,promoter,Approve,Don't know,Disapprove,Disapprove,Approve,Disapprove,Approve,Don't know,Disapprove,Approve,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0072,fiscal_hawks,Fiscal hawks,,base,promoter,Approve,Approve,Don't know,Approve,Approve,Disapprove,Approve,Don't know,Don't know,Don't know,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0073,fiscal_hawks,Fiscal hawks,,base,mainstream,Approve,Approve,Don't know,Don't know,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0074,fiscal_hawks,Fiscal hawks,,base,promoter,Disapprove,Don't know,Approve,Approve,Approve,Approve,Approve,Approve,Don't know,Approve,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0075,fiscal_hawks,Fiscal hawks,,base,mainstream,Disapprove,Approve,Don't know,Don't know,Disapprove,Disapprove,Approve,Don't know,Approve,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0076,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Disapprove,Approve,Don't know,Disapprove,Disapprove,Approve,Don't know,Approve,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0077,fiscal_hawks,Fiscal hawks,,base,promoter,Disapprove,Disapprove,Don't know,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Don't know,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0078,fiscal_hawks,Fiscal hawks,,base,promoter,Don't know,Approve,Disapprove,Don't know,Disapprove,Don't know,Approve,Don't know,Approve,Don't know,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0079,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Disapprove,Approve,Don't know,Disapprove,Disapprove,Disapprove,Approve,Disapprove,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0080,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Approve,Approve,Approve,Don't know,Don't know,Approve,Disapprove,Approve,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0081,fiscal_hawks,Fiscal hawks,,base,promoter,Don't know,Approve,Disapprove,Disapprove,Don't know,Disapprove,Approve,Disapprove,Approve,Don't know,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0082,fiscal_hawks,Fiscal hawks,,base,skeptical,Approve,Don't know,Disapprove,Disapprove,Don't know,Don't know,Approve,Disapprove,Disapprove,Disapprove,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0083,fiscal_hawks,Fiscal hawks,,base,promoter,Don't know,Don't know,Don't know,Disapprove,Disapprove,Don't know,Approve,Disapprove,Approve,Disapprove,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0084,fiscal_hawks,Fiscal hawks,,base,promoter,Disapprove,Approve,Don't know,Disapprove,Approve,Approve,Approve,Don't know,Disapprove,Approve,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0085,fiscal_hawks,Fiscal hawks,,base,promoter,Don't know,Approve,Approve,Approve,Disapprove,Don't know,Don't know,Approve,Approve,Disapprove,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0086,fiscal_hawks,Fiscal hawks,,base,skeptical,Approve,Disapprove,Approve,Disapprove,Disapprove,Approve,Don't know,Disapprove,Don't know,Don't know,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0087,fiscal_hawks,Fiscal hawks,,base,promoter,Don't know,Disapprove,Disapprove,Approve,Approve,Don't know,Approve,Don't know,Disapprove,Disapprove,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0088,fiscal_hawks,Fiscal hawks,,base,promoter,Don't know,Disapprove,Don't know,Approve,Disapprove,Approve,Approve,Disapprove,Approve,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0089,fiscal_hawks,Fiscal hawks,,base,mainstream,Approve,Disapprove,Don't know,Approve,Approve,Don't know,Don't know,Disapprove,Don't know,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0090,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Approve,Disapprove,Disapprove,Disapprove,Approve,Approve,Disapprove,Approve,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0091,fiscal_hawks,Fiscal hawks,,base,promoter,Disapprove,Don't know,Approve,Disapprove,Approve,Disapprove,Don't know,Don't know,Don't know,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0092,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Disapprove,Approve,Don't know,Don't know,Approve,Approve,Disapprove,Disapprove,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0093,fiscal_hawks,Fiscal hawks,,base,skeptical,Approve,Approve,Approve,Disapprove,Disapprove,Approve,Don't know,Approve,Approve,Approve,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0094,fiscal_hawks,Fiscal hawks,,base,skeptical,Don't know,Approve,Approve,Don't know,Approve,Approve,Disapprove,Approve,Don't know,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0095,fiscal_hawks,Fiscal hawks,,base,promoter,Approve,Approve,Don't know,Approve,Approve,Approve,Approve,Approve,Disapprove,Approve,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0096,fiscal_hawks,Fiscal hawks,,base,skeptical,Approve,Approve,Approve,Approve,Don't know,Disapprove,Don't know,Approve,Don't know,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0097,fiscal_hawks,Fiscal hawks,,base,promoter,Disapprove,Don't know,Approve,Don't know,Approve,Disapprove,Don't know,Disapprove,Approve,Disapprove,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0098,fiscal_hawks,Fiscal hawks,,base,promoter,Approve,Don't know,Disapprove,Approve,Approve,Disapprove,Disapprove,Don't know,Don't know,Approve,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0099,fiscal_hawks,Fiscal hawks,,base,mainstream,Disapprove,Disapprove,Disapprove,Approve,Approve,Approve,Approve,Approve,Disapprove,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0100,fiscal_hawks,Fiscal hawks,,base,mainstream,Approve,Don't know,Don't know,Disapprove,Disapprove,Approve,Don't know,Approve,Don't know,Disapprove,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0101,fiscal_hawks,Fiscal hawks,,base,promoter,Disapprove,Approve,Don't know,Disapprove,Approve,Disapprove,Approve,Don't know,Approve,Disapprove,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0102,fiscal_hawks,Fiscal hawks,,base,mainstream,Approve,Don't know,Disapprove,Disapprove,Don't know,Don't know,Don't know,Approve,Disapprove,Don't know,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0103,fiscal_hawks,Fiscal hawks,,base,promoter,Disapprove,Disapprove,Don't know,Disapprove,Approve,Disapprove,Approve,Approve,Disapprove,Disapprove,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0104,fiscal_hawks,Fiscal hawks,,base,promoter,Approve,Disapprove,Disapprove,Disapprove,Approve,Don't know,Approve,Don't know,Approve,Approve,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0105,fiscal_hawks,Fiscal hawks,,base,promoter,Approve,Disapprove,Approve,Don't know,Approve,Don't know,Don't know,Approve,Disapprove,Don't know,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0106,fiscal_hawks,Fiscal hawks,,base,mainstream,Approve,Disapprove,Don't know,Don't know,Approve,Disapprove,Approve,Don't know,Approve,Don't know,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0107,fiscal_hawks,Fiscal hawks,,base,promoter,Don't know,Approve,Disapprove,Don't know,Approve,Disapprove,Approve,Approve,Don't know,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0108,fiscal_hawks,Fiscal hawks,,base,promoter,Approve,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Approve,Disapprove,Disapprove,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0109,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Approve,Approve,Disapprove,Disapprove,Approve,Approve,Approve,Don't know,Disapprove,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0110,fiscal_hawks,Fiscal hawks,,base,skeptical,Approve,Approve,Don't know,Approve,Disapprove,Don't know,Don't know,Approve,Approve,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0111,fiscal_hawks,Fiscal hawks,,base,promoter,Don't know,Disapprove,Disapprove,Approve,Disapprove,Disapprove,Disapprove,Don't know,Approve,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0112,fiscal_hawks,Fiscal hawks,,base,mainstream,Approve,Don't know,Disapprove,Approve,Approve,Disapprove,Disapprove,Disapprove,Approve,Disapprove,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0113,fiscal_hawks,Fiscal hawks,,base,skeptical,Approve,Approve,Approve,Disapprove,Disapprove,Don't know,Disapprove,Approve,Disapprove,Approve,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0114,fiscal_hawks,Fiscal hawks,,base,promoter,Approve,Don't know,Disapprove,Don't know,Approve,Approve,Disapprove,Disapprove,Disapprove,Approve,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0115,fiscal_hawks,Fiscal hawks,,base,skeptical,Approve,Disapprove,Disapprove,Don't know,Disapprove,Approve,Don't know,Approve,Don't know,Disapprove,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0116,fiscal_hawks,Fiscal hawks,,base,skeptical,Approve,Disapprove,Disapprove,Don't know,Approve,Approve,Don't know,Approve,Approve,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0117,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Approve,Approve,Disapprove,Approve,Approve,Approve,Approve,Disapprove,Don't know,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0118,fiscal_hawks,Fiscal hawks,,base,mainstream,Disapprove,Don't know,Disapprove,Don't know,Approve,Approve,Approve,Disapprove,Approve,Approve,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0119,fiscal_hawks,Fiscal hawks,,base,promoter,Approve,Disapprove,Approve,Approve,Approve,Don't know,Don't know,Disapprove,Disapprove,Don't know,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0120,fiscal_hawks,Fiscal hawks,,base,skeptical,Don't know,Disapprove,Approve,Approve,Approve,Approve,Disapprove,Approve,Disapprove,Disapprove,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0121,fiscal_hawks,Fiscal hawks,,base,promoter,Don't know,Don't know,Don't know,Don't know,Don't know,Approve,Approve,Approve,Disapprove,Don't know,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0122,fiscal_hawks,Fiscal hawks,,base,mainstream,Approve,Approve,Approve,Don't know,Approve,Don't know,Disapprove,Approve,Approve,Don't know,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0123,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Disapprove,Approve,Approve,Don't know,Approve,Disapprove,Approve,Approve,Don't know,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0124,fiscal_hawks,Fiscal hawks,,base,promoter,Approve,Approve,Disapprove,Don't know,Approve,Approve,Disapprove,Don't know,Approve,Approve,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0125,fiscal_hawks,Fiscal hawks,,base,promoter,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Don't know,Don't know,Disapprove,Approve,Don't know,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0126,fiscal_hawks,Fiscal hawks,,base,skeptical,Approve,Approve,Approve,Approve,Disapprove,Approve,Don't know,Don't know,Don't know,Approve,Approve
