respondent_id,segment_id,segment_name,variant_id,variant_name,latent_profile,q09_democracy_problem,q11_personal_impression,q12_public_impression,q13_unfair_advantage,q14_democratic_expression,q15a_corruption,q15b_effectiveness,q15c_resources
sample_zh_teds2018_se01_reform_youth___base___0076,reform_youth,改革導向青年選民,,base,skeptical,新聞政治報導不公正,好,好,有點同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0077,reform_youth,改革導向青年選民,,base,promoter,有太多政二代,不好,沒差,非常同意,非常不同意,不具有政治家庭背景的人,具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0078,reform_youth,改革導向青年選民,,base,skeptical,貪腐問題,不好,沒差,有點同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0079,reform_youth,改革導向青年選民,,base,promoter,街頭抗議太多,不好,沒差,有點同意,有點同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0080,reform_youth,改革導向青年選民,,base,promoter,貪腐問題,不好,不好,非常同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0081,reform_youth,改革導向青年選民,,base,promoter,政黨對立太嚴重,不好,沒差,有點不同意,非常不同意,不具有政治家庭背景的人,具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0082,reform_youth,改革導向青年選民,,base,skeptical,有太多政二代,好,沒差,有點不同意,有點同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0083,reform_youth,改革導向青年選民,,base,skeptical,貪腐問題,沒差,不好,有點同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0084,reform_youth,改革導向青年選民,,base,promoter,有太多政二代,沒差,不好,非常同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0085,reform_youth,改革導向青年選民,,base,promoter,貪腐問題,沒差,不好,有點同意,有點同意,不具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0086,reform_youth,改革導向青年選民,,base,promoter,政黨對立太嚴重,沒差,好,有點不同意,有點同意,具有政治家庭背景的人,不具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0087,reform_youth,改革導向青年選民,,base,skeptical,有太多政二代,不好,不好,有點同意,有點不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0088,reform_youth,改革導向青年選民,,base,promoter,有太多政二代,不好,不好,非常同意,非常不同意,不具有政治家庭背景的人,具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0089,reform_youth,改革導向青年選民,,base,skeptical,有太多政二代,好,好,有點同意,有點不同意,具有政治家庭背景的人,具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0090,reform_youth,改革導向青年選民,,base,skeptical,有太多政二代,好,好,有點不同意,有點同意,不具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0091,reform_youth,改革導向青年選民,,base,skeptical,政治人物不太關心一般民眾的需求,好,好,有點同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0092,reform_youth,改革導向青年選民,,base,promoter,政治人物不太關心一般民眾的需求,沒差,不好,非常同意,非常不同意,具有政治家庭背景的人,具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0093,reform_youth,改革導向青年選民,,base,skeptical,政黨對立太嚴重,好,沒差,非常不同意,非常不同意,不具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0094,reform_youth,改革導向青年選民,,base,mainstream,貪腐問題,沒差,沒差,有點不同意,有點不同意,具有政治家庭背景的人,不具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0095,reform_youth,改革導向青年選民,,base,skeptical,貪腐問題,不好,不好,有點同意,有點不同意,具有政治家庭背景的人,不具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0096,reform_youth,改革導向青年選民,,base,skeptical,政黨對立太嚴重,好,不好,有點不同意,非常不同意,具有政治家庭背景的人,具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0097,reform_youth,改革導向青年選民,,base,promoter,有太多政二代,不好,不好,有點不同意,非常同意,不具有政治家庭背景的人,不具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0098,reform_youth,改革導向青年選民,,base,promoter,有太多政二代,好,不好,非常同意,有點不同意,不具有政治家庭背景的人,不具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0099,reform_youth,改革導向青年選民,,base,skeptical,有太多政二代,好,沒差,有點不同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0100,reform_youth,改革導向青年選民,,base,skeptical,政黨對立太嚴重,不好,不好,有點不同意,有點同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0101,reform_youth,改革導向青年選民,,base,promoter,有太多政二代,沒差,好,有點同意,有點同意,不具有政治家庭背景的人,不具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0102,reform_youth,改革導向青年選民,,base,skeptical,政黨對立太嚴重,不好,不好,有點不同意,有點不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0103,reform_youth,改革導向青年選民,,base,mainstream,有太多政二代,不好,不好,非常不同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0104,reform_youth,改革導向青年選民,,base,promoter,新聞政治報導不公正,沒差,沒差,有點不同意,有點不同意,具有政治家庭背景的人,具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0105,reform_youth,改革導向青年選民,,base,promoter,政黨對立太嚴重,不好,不好,非常同意,非常同意,不具有政治家庭背景的人,具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0106,reform_youth,改革導向青年選民,,base,promoter,有太多政二代,沒差,好,有點同意,有點同意,不具有政治家庭背景的人,具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0107,reform_youth,改革導向青年選民,,base,skeptical,有太多政二代,不好,不好,有點不同意,非常不同意,不具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0108,reform_youth,改革導向青年選民,,base,skeptical,貪腐問題,不好,不好,有點不同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0109,reform_youth,改革導向青年選民,,base,mainstream,新聞政治報導不公正,沒差,沒差,有點不同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0110,reform_youth,改革導向青年選民,,base,promoter,政治人物不太關心一般民眾的需求,不好,沒差,有點不同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0111,reform_youth,改革導向青年選民,,base,skeptical,政治人物不太關心一般民眾的需求,沒差,好,非常同意,有點同意,具有政治家庭背景的人,不具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0112,reform_youth,改革導向青年選民,,base,mainstream,有太多政二代,不好,不好,非常同意,非常同意,具有政治家庭背景的人,具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0113,reform_youth,改革導向青年選民,,base,skeptical,有太多政二代,不好,好,有點同意,有點不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0114,reform_youth,改革導向青年選民,,base,mainstream,貪腐問題,沒差,不好,非常同意,非常不同意,不具有政治家庭背景的人,具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0115,reform_youth,改革導向青年選民,,base,mainstream,政治人物不太關心一般民眾的需求,好,不好,非常同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0116,reform_youth,改革導向青年選民,,base,promoter,貪腐問題,不好,沒差,非常不同意,有點不同意,不具有政治家庭背景的人,具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0117,reform_youth,改革導向青年選民,,base,mainstream,有太多政二代,不好,不好,有點不同意,有點同意,具有政治家庭背景的人,具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0118,reform_youth,改革導向青年選民,,base,promoter,有太多政二代,沒差,不好,有點同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0119,reform_youth,改革導向青年選民,,base,skeptical,新聞政治報導不公正,不好,好,有點同意,有點同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0120,reform_youth,改革導向青年選民,,base,promoter,有太多政二代,不好,不好,有點同意,有點同意,不具有政治家庭背景的人,不具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0121,reform_youth,改革導向青年選民,,base,promoter,有太多政二代,不好,沒差,非常不同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0122,reform_youth,改革導向青年選民,,base,promoter,有太多政二代,不好,沒差,非常不同意,非常不同意,不具有政治家庭背景的人,具有政治家庭背景的人,不具有政治家庭背景的人
